Algorithm,pre-order,Test-parameter : ,Sort-true,ForecastingTime-0,Concat-true
name,accept rate,accept-1,accept-2,accept-3,accept-4
test-1,0.507250,0,971,29,0
test-2,0.513250,0,947,53,0
test-3,0.518500,0,926,74,0
test-4,0.500000,0,1000,0,0
test-5,0.516750,0,933,67,0
Algorithm,invert-pre-order,Test-parameter : ,Sort-true,ForecastingTime-0,Concat-true
name,accept rate,accept-1,accept-2,accept-3,accept-4
test-1,0.507000,0,972,28,0
test-2,0.511500,0,954,46,0
test-3,0.514750,0,941,59,0
test-4,0.500000,0,1000,0,0
test-5,0.516000,0,936,64,0
Algorithm,leaf-size,Test-parameter : ,Sort-true,ForecastingTime-0,Concat-true
name,accept rate,accept-1,accept-2,accept-3,accept-4
test-1,0.507000,0,972,28,0
test-2,0.513250,0,947,53,0
test-3,0.516750,0,933,67,0
test-4,0.500000,0,1000,0,0
test-5,0.516500,0,934,66,0
